cat,label,review
酒店,1,房间比较宽敞，大堂和5星级的差距较大。电梯的速度快，尤其到高层。
衣服,0,我说的全是实话大家看这是洗的第二遍白水洗转二圈就这样子了。卖家说不掉色，
衣服,1,物流很快，裤子 颜色很正，穿着也很舒服，朋友都说太值了，好的没得说。
计算机,1,1、机器小巧，份量相当于一本教材书，使用起来方便； 2、开机即自动安装XP，无需装任何硬件的驱动； 3、电池续航在5个多小时，上网速度很快，这可能与网络相关； 4、附有白色的内包，皮革质，要求不高的话能将就着用； 5、附有恢复光盘； 6、连续开机7小时，机器一点都不烫
酒店,0,两年前住过一次，这次因航班延误又来住的，除了离机场近其他全部不好，地毯很脏，无烟楼层烟味很重，总台接线员服务态度极差
衣服,0,太大了什么东西换了和以前一样大
计算机,1,性能不错，屏幕不错，比原来公司的Dell D610要轻，所以有人说SL400比较重我就不觉得了，办公与普通娱乐够用了。
衣服,0,很无语，打开包裹后，就有开线地方
水果,1,速度真快！昨晚下单 早上就到了，    尝了一个，又脆又甜，而且很新鲜。
水果,1,快递速度很快，服务很好，信赖京东！
衣服,0,衣服质量直接是让人难以置信。差啊
水果,0,很不愉快的购物，里面居然缺苹果，咨询售后好少有客服。大家还是需要谨慎购买这个
衣服,1,裤子很不错非常好的一条裤子 值得购买 弹力也很好不勒人
书籍,1,对于一本广受好评的书“锦上添花”多少有点多余，让人有所收获是每一个阅读人的愿望。否则还不用冒着近视的危险使劲的看书？？HIT BOOK 。看书也要选择，尤其是对于青年男女手上有一本连岳还是不错的选择。情感，你去试，你就会有收获---要么幸福、快乐，要么痛苦、遗憾。准确的说是都有，都有。看了连岳精辟的回答，心中渐渐有种明朗的感觉。喜欢
水果,0,苹果吃了几个，不是很甜，没有水分，感觉一般
蒙牛,0,抵制蒙牛 无耻了无敌了，打死也不能喝蒙牛了。
书籍,0,这个百花出版社的版本就不像正版小说，错字别字也不少，看着都不通顺，真是郁闷！不知道原版小说是哪个，去哪里可以买到呢
书籍,1,收到书后，发现书虽然只有190页，但字比黄金游戏（一）要小且紧凑，因此字数实际上多很多、内容也更丰富，其质量远非那些快餐式书籍可比，强烈推荐。很敬佩豪哥的为人，在每日的博客里无私和大家分享，在这里真诚跟豪哥到声谢。
衣服,1,宝贝非常好穿起来非常舒服比较满意
平板,1,不错，性价比高，大小合适，不过还是感觉有点厚了
衣服,0,垃圾 相当差 完全布一样
衣服,1,收到的裤子挺好的老公喜欢，就给弟弟的一条买厚了，联系客服马上答应帮忙换货，非常谢谢，会再回购的很好的店家
计算机,1,配置比价均衡，玩一般的游戏应该也撑的住了。硬盘250G的比较大了，可以多放好多东西。网络摄像头130万像素摄像头，读卡器，无线网卡该有的基本上都有了。  独立显卡ATI Mobility Radeon HD 3470 显存容量 独立256MB 算是同价位中比较高的芯片了。 华硕还是挺专业的！
平板,1,屏幕色彩鲜艳，分辨率高，反应速度超快，音响给力，1千多的东西，真神了
水果,1,苹果外箱有点压瘪，果子有大有小，不太均匀，而且果面不光滑，有黑点。不太满意。较以前的差了些！希望京东加强选果管理，给用户一个好体验！
衣服,1,衣服不错，发货很快，大小合适，没有色差，不掉色，款式很喜欢，穿着舒服
洗发水,1,清扬洗发液一直用，很不错?和同事一起拼的，买了两个套装一人一半搭配?，套装真便宜，味道很香，出现洗发液露出，只要质量没问题，漏点都是小事。京东自营快递一直都是棒棒哒，快递师傅第三天中午就送到了?
计算机,1,"问题多.刚买回来光驱弹不出来,必须用针弄出来！无奈之下第二天就去了维修站拆机修了，但有事还是不灵，后来又发现待机无法唤醒！打了客服电话说要我刷主板！如拿他那修机器还拿不回来！明显主板有问题"
平板,1,昨天买今天就到了，神速，机子感觉很轻薄，立体声效果很好
洗发水,0,非常不好，压不了，是坏的，而且也不适合油性发质，洗完第二天就油了
水果,1,苹果非常好，包装也结实味道很好。
水果,0,什么都不说了，早上吃的，影响心情。
平板,0,像素太差了 触摸感也很差 触摸反应好迟钝 音效也不满意
洗发水,1,挺划算的，这点够用一段时间了！！
计算机,0,第一台到手硬盘和屏幕就是坏的，质量不稳定，不知是华硕的问题还是物流的问题？！
